Epoch,Loss_D,Loss_G,Score_D,Score_G,PSNR,SSIM
1,"tensor(0.9344, device='cuda:0')","tensor(0.0520, device='cuda:0')","tensor(0.4461, device='cuda:0')","tensor(0.3805, device='cuda:0')",11.644010903666292,"tensor(0.3217, device='cuda:0')"
2,"tensor(0.8840, device='cuda:0')","tensor(0.0540, device='cuda:0')","tensor(0.3495, device='cuda:0')","tensor(0.2335, device='cuda:0')",13.561012196463622,"tensor(0.3658, device='cuda:0')"
3,"tensor(0.8667, device='cuda:0')","tensor(0.0269, device='cuda:0')","tensor(0.3645, device='cuda:0')","tensor(0.2312, device='cuda:0')",12.377470564624982,"tensor(0.3183, device='cuda:0')"
4,"tensor(1.0160, device='cuda:0')","tensor(0.0235, device='cuda:0')","tensor(0.1431, device='cuda:0')","tensor(0.1592, device='cuda:0')",16.752985558986,"tensor(0.3855, device='cuda:0')"
5,"tensor(1.0092, device='cuda:0')","tensor(0.0185, device='cuda:0')","tensor(0.1450, device='cuda:0')","tensor(0.1542, device='cuda:0')",15.42994074003472,"tensor(0.3546, device='cuda:0')"
6,"tensor(0.8635, device='cuda:0')","tensor(0.0198, device='cuda:0')","tensor(0.3257, device='cuda:0')","tensor(0.1892, device='cuda:0')",17.30020350060711,"tensor(0.4232, device='cuda:0')"
7,"tensor(0.8689, device='cuda:0')","tensor(0.0173, device='cuda:0')","tensor(0.2110, device='cuda:0')","tensor(0.0799, device='cuda:0')",17.592413587286437,"tensor(0.4800, device='cuda:0')"
8,"tensor(0.8895, device='cuda:0')","tensor(0.0168, device='cuda:0')","tensor(0.2560, device='cuda:0')","tensor(0.1455, device='cuda:0')",18.52888095103099,"tensor(0.4863, device='cuda:0')"
9,"tensor(0.6875, device='cuda:0')","tensor(0.0170, device='cuda:0')","tensor(0.3396, device='cuda:0')","tensor(0.0271, device='cuda:0')",19.348887566072374,"tensor(0.5044, device='cuda:0')"
10,"tensor(0.7743, device='cuda:0')","tensor(0.0161, device='cuda:0')","tensor(0.3731, device='cuda:0')","tensor(0.1474, device='cuda:0')",18.57613860525984,"tensor(0.5186, device='cuda:0')"
11,"tensor(0.5822, device='cuda:0')","tensor(0.0167, device='cuda:0')","tensor(0.5064, device='cuda:0')","tensor(0.0886, device='cuda:0')",15.710028852945932,"tensor(0.5141, device='cuda:0')"
12,"tensor(0.6295, device='cuda:0')","tensor(0.0167, device='cuda:0')","tensor(0.4286, device='cuda:0')","tensor(0.0581, device='cuda:0')",18.835608519518704,"tensor(0.5106, device='cuda:0')"
13,"tensor(0.6310, device='cuda:0')","tensor(0.0161, device='cuda:0')","tensor(0.3982, device='cuda:0')","tensor(0.0292, device='cuda:0')",18.208607222385854,"tensor(0.5117, device='cuda:0')"
14,"tensor(0.7281, device='cuda:0')","tensor(0.0164, device='cuda:0')","tensor(0.3769, device='cuda:0')","tensor(0.1050, device='cuda:0')",18.832425748974877,"tensor(0.5008, device='cuda:0')"
15,"tensor(0.7978, device='cuda:0')","tensor(0.0156, device='cuda:0')","tensor(0.5659, device='cuda:0')","tensor(0.3637, device='cuda:0')",18.975529737666477,"tensor(0.5350, device='cuda:0')"
16,"tensor(0.8137, device='cuda:0')","tensor(0.0162, device='cuda:0')","tensor(0.5500, device='cuda:0')","tensor(0.3637, device='cuda:0')",18.781801877353754,"tensor(0.5479, device='cuda:0')"
17,"tensor(0.8728, device='cuda:0')","tensor(0.0137, device='cuda:0')","tensor(0.4452, device='cuda:0')","tensor(0.3180, device='cuda:0')",20.35183224273125,"tensor(0.5524, device='cuda:0')"
18,"tensor(0.8465, device='cuda:0')","tensor(0.0141, device='cuda:0')","tensor(0.5193, device='cuda:0')","tensor(0.3659, device='cuda:0')",20.520867803217186,"tensor(0.5533, device='cuda:0')"
19,"tensor(0.7251, device='cuda:0')","tensor(0.0125, device='cuda:0')","tensor(0.4317, device='cuda:0')","tensor(0.1568, device='cuda:0')",20.991687478729325,"tensor(0.5731, device='cuda:0')"
20,"tensor(0.8553, device='cuda:0')","tensor(0.0130, device='cuda:0')","tensor(0.3643, device='cuda:0')","tensor(0.2196, device='cuda:0')",20.4013016185765,"tensor(0.5749, device='cuda:0')"
21,"tensor(0.7213, device='cuda:0')","tensor(0.0129, device='cuda:0')","tensor(0.3820, device='cuda:0')","tensor(0.1033, device='cuda:0')",21.258406523125114,"tensor(0.5862, device='cuda:0')"
22,"tensor(0.6653, device='cuda:0')","tensor(0.0120, device='cuda:0')","tensor(0.4750, device='cuda:0')","tensor(0.1403, device='cuda:0')",21.00326390450627,"tensor(0.5911, device='cuda:0')"
23,"tensor(0.9599, device='cuda:0')","tensor(0.0107, device='cuda:0')","tensor(0.3912, device='cuda:0')","tensor(0.3512, device='cuda:0')",20.622942682697346,"tensor(0.5700, device='cuda:0')"
24,"tensor(1.0325, device='cuda:0')","tensor(0.0105, device='cuda:0')","tensor(0.6059, device='cuda:0')","tensor(0.6384, device='cuda:0')",20.650783236361775,"tensor(0.5935, device='cuda:0')"
25,"tensor(1.0201, device='cuda:0')","tensor(0.0104, device='cuda:0')","tensor(0.6531, device='cuda:0')","tensor(0.6733, device='cuda:0')",21.50000279024987,"tensor(0.6019, device='cuda:0')"
26,"tensor(0.9273, device='cuda:0')","tensor(0.0104, device='cuda:0')","tensor(0.6218, device='cuda:0')","tensor(0.5491, device='cuda:0')",21.542302246400148,"tensor(0.5984, device='cuda:0')"
27,"tensor(1.0206, device='cuda:0')","tensor(0.0117, device='cuda:0')","tensor(0.5135, device='cuda:0')","tensor(0.5342, device='cuda:0')",21.448155083819742,"tensor(0.6081, device='cuda:0')"
28,"tensor(1.0189, device='cuda:0')","tensor(0.0095, device='cuda:0')","tensor(0.5941, device='cuda:0')","tensor(0.6129, device='cuda:0')",20.866794293707077,"tensor(0.6066, device='cuda:0')"
29,"tensor(1.0089, device='cuda:0')","tensor(0.0105, device='cuda:0')","tensor(0.5858, device='cuda:0')","tensor(0.5947, device='cuda:0')",21.89157895146572,"tensor(0.6143, device='cuda:0')"
30,"tensor(1.0220, device='cuda:0')","tensor(0.0109, device='cuda:0')","tensor(0.6184, device='cuda:0')","tensor(0.6404, device='cuda:0')",21.204423791876632,"tensor(0.6119, device='cuda:0')"
31,"tensor(0.9978, device='cuda:0')","tensor(0.0093, device='cuda:0')","tensor(0.5986, device='cuda:0')","tensor(0.5964, device='cuda:0')",21.131904554228917,"tensor(0.6155, device='cuda:0')"
32,"tensor(0.9889, device='cuda:0')","tensor(0.0094, device='cuda:0')","tensor(0.5830, device='cuda:0')","tensor(0.5719, device='cuda:0')",21.23982662590354,"tensor(0.6146, device='cuda:0')"
33,"tensor(0.9985, device='cuda:0')","tensor(0.0097, device='cuda:0')","tensor(0.5314, device='cuda:0')","tensor(0.5299, device='cuda:0')",20.89486693713754,"tensor(0.6189, device='cuda:0')"
34,"tensor(0.9954, device='cuda:0')","tensor(0.0080, device='cuda:0')","tensor(0.5862, device='cuda:0')","tensor(0.5816, device='cuda:0')",22.160330235257852,"tensor(0.6231, device='cuda:0')"
35,"tensor(0.9686, device='cuda:0')","tensor(0.0092, device='cuda:0')","tensor(0.5704, device='cuda:0')","tensor(0.5390, device='cuda:0')",22.144154804148037,"tensor(0.6282, device='cuda:0')"
36,"tensor(0.9772, device='cuda:0')","tensor(0.0104, device='cuda:0')","tensor(0.4445, device='cuda:0')","tensor(0.4217, device='cuda:0')",21.32582377266583,"tensor(0.6224, device='cuda:0')"
37,"tensor(1.0240, device='cuda:0')","tensor(0.0097, device='cuda:0')","tensor(0.4052, device='cuda:0')","tensor(0.4292, device='cuda:0')",22.362840159296624,"tensor(0.6385, device='cuda:0')"
38,"tensor(0.9704, device='cuda:0')","tensor(0.0096, device='cuda:0')","tensor(0.4709, device='cuda:0')","tensor(0.4413, device='cuda:0')",21.790245172689584,"tensor(0.6382, device='cuda:0')"
39,"tensor(0.9867, device='cuda:0')","tensor(0.0094, device='cuda:0')","tensor(0.3507, device='cuda:0')","tensor(0.3374, device='cuda:0')",20.976358103638123,"tensor(0.6406, device='cuda:0')"
40,"tensor(1.0428, device='cuda:0')","tensor(0.0084, device='cuda:0')","tensor(0.3954, device='cuda:0')","tensor(0.4383, device='cuda:0')",22.33771451957255,"tensor(0.6522, device='cuda:0')"
41,"tensor(0.9882, device='cuda:0')","tensor(0.0086, device='cuda:0')","tensor(0.5295, device='cuda:0')","tensor(0.5176, device='cuda:0')",21.99979384939652,"tensor(0.6531, device='cuda:0')"
42,"tensor(0.9724, device='cuda:0')","tensor(0.0081, device='cuda:0')","tensor(0.4565, device='cuda:0')","tensor(0.4289, device='cuda:0')",22.343475407301398,"tensor(0.6547, device='cuda:0')"
43,"tensor(0.9470, device='cuda:0')","tensor(0.0084, device='cuda:0')","tensor(0.4204, device='cuda:0')","tensor(0.3674, device='cuda:0')",22.508229337380058,"tensor(0.6543, device='cuda:0')"
44,"tensor(0.9850, device='cuda:0')","tensor(0.0094, device='cuda:0')","tensor(0.2553, device='cuda:0')","tensor(0.2403, device='cuda:0')",22.304219065506178,"tensor(0.6535, device='cuda:0')"
45,"tensor(0.9894, device='cuda:0')","tensor(0.0078, device='cuda:0')","tensor(0.1933, device='cuda:0')","tensor(0.1827, device='cuda:0')",22.392224332642453,"tensor(0.6648, device='cuda:0')"
46,"tensor(1.0007, device='cuda:0')","tensor(0.0080, device='cuda:0')","tensor(0.1929, device='cuda:0')","tensor(0.1936, device='cuda:0')",21.188489456143405,"tensor(0.6418, device='cuda:0')"
47,"tensor(1.0070, device='cuda:0')","tensor(0.0086, device='cuda:0')","tensor(0.1919, device='cuda:0')","tensor(0.1988, device='cuda:0')",22.020207216474766,"tensor(0.6627, device='cuda:0')"
48,"tensor(1.0070, device='cuda:0')","tensor(0.0099, device='cuda:0')","tensor(0.2119, device='cuda:0')","tensor(0.2189, device='cuda:0')",22.50898134977185,"tensor(0.6640, device='cuda:0')"
49,"tensor(1.0100, device='cuda:0')","tensor(0.0088, device='cuda:0')","tensor(0.2058, device='cuda:0')","tensor(0.2159, device='cuda:0')",20.540959902653416,"tensor(0.6505, device='cuda:0')"
50,"tensor(0.9868, device='cuda:0')","tensor(0.0106, device='cuda:0')","tensor(0.2121, device='cuda:0')","tensor(0.1989, device='cuda:0')",22.27187700361302,"tensor(0.6739, device='cuda:0')"
51,"tensor(0.9942, device='cuda:0')","tensor(0.0083, device='cuda:0')","tensor(0.2114, device='cuda:0')","tensor(0.2056, device='cuda:0')",22.504687326733514,"tensor(0.6777, device='cuda:0')"
52,"tensor(0.9908, device='cuda:0')","tensor(0.0077, device='cuda:0')","tensor(0.1806, device='cuda:0')","tensor(0.1714, device='cuda:0')",22.413817519047342,"tensor(0.6760, device='cuda:0')"
53,"tensor(1.0012, device='cuda:0')","tensor(0.0073, device='cuda:0')","tensor(0.1354, device='cuda:0')","tensor(0.1367, device='cuda:0')",22.61330692959913,"tensor(0.6811, device='cuda:0')"
54,"tensor(0.9984, device='cuda:0')","tensor(0.0083, device='cuda:0')","tensor(0.1339, device='cuda:0')","tensor(0.1323, device='cuda:0')",23.09919376750578,"tensor(0.6876, device='cuda:0')"
55,"tensor(1.0536, device='cuda:0')","tensor(0.0078, device='cuda:0')","tensor(0.1524, device='cuda:0')","tensor(0.2060, device='cuda:0')",22.069421383088475,"tensor(0.6707, device='cuda:0')"
56,"tensor(1.0382, device='cuda:0')","tensor(0.0085, device='cuda:0')","tensor(0.2906, device='cuda:0')","tensor(0.3289, device='cuda:0')",22.553997211805434,"tensor(0.6922, device='cuda:0')"
57,"tensor(1.0280, device='cuda:0')","tensor(0.0069, device='cuda:0')","tensor(0.3872, device='cuda:0')","tensor(0.4152, device='cuda:0')",22.846226795124906,"tensor(0.6809, device='cuda:0')"
58,"tensor(1.0259, device='cuda:0')","tensor(0.0071, device='cuda:0')","tensor(0.4492, device='cuda:0')","tensor(0.4751, device='cuda:0')",22.963193876175584,"tensor(0.6954, device='cuda:0')"
59,"tensor(1.0132, device='cuda:0')","tensor(0.0084, device='cuda:0')","tensor(0.4597, device='cuda:0')","tensor(0.4729, device='cuda:0')",22.789208084648465,"tensor(0.6868, device='cuda:0')"
60,"tensor(0.9988, device='cuda:0')","tensor(0.0074, device='cuda:0')","tensor(0.4996, device='cuda:0')","tensor(0.4984, device='cuda:0')",23.152106718233995,"tensor(0.6987, device='cuda:0')"
61,"tensor(1.0174, device='cuda:0')","tensor(0.0066, device='cuda:0')","tensor(0.4770, device='cuda:0')","tensor(0.4944, device='cuda:0')",23.321605073925117,"tensor(0.7007, device='cuda:0')"
62,"tensor(1.0041, device='cuda:0')","tensor(0.0075, device='cuda:0')","tensor(0.5237, device='cuda:0')","tensor(0.5279, device='cuda:0')",22.03236808624827,"tensor(0.6971, device='cuda:0')"
63,"tensor(1.0323, device='cuda:0')","tensor(0.0071, device='cuda:0')","tensor(0.5794, device='cuda:0')","tensor(0.6117, device='cuda:0')",22.32380931894071,"tensor(0.6977, device='cuda:0')"
64,"tensor(1.0145, device='cuda:0')","tensor(0.0069, device='cuda:0')","tensor(0.6245, device='cuda:0')","tensor(0.6390, device='cuda:0')",22.603280463196658,"tensor(0.6987, device='cuda:0')"
65,"tensor(1.0030, device='cuda:0')","tensor(0.0070, device='cuda:0')","tensor(0.6876, device='cuda:0')","tensor(0.6906, device='cuda:0')",21.95440598405917,"tensor(0.6997, device='cuda:0')"
66,"tensor(0.9918, device='cuda:0')","tensor(0.0070, device='cuda:0')","tensor(0.7045, device='cuda:0')","tensor(0.6962, device='cuda:0')",21.91007277857906,"tensor(0.7121, device='cuda:0')"
67,"tensor(1.0051, device='cuda:0')","tensor(0.0084, device='cuda:0')","tensor(0.6420, device='cuda:0')","tensor(0.6471, device='cuda:0')",21.094143543403344,"tensor(0.7039, device='cuda:0')"
68,"tensor(0.9818, device='cuda:0')","tensor(0.0064, device='cuda:0')","tensor(0.6237, device='cuda:0')","tensor(0.6054, device='cuda:0')",22.735003813978242,"tensor(0.7081, device='cuda:0')"
69,"tensor(0.9870, device='cuda:0')","tensor(0.0078, device='cuda:0')","tensor(0.6637, device='cuda:0')","tensor(0.6506, device='cuda:0')",21.414367588246254,"tensor(0.7006, device='cuda:0')"
70,"tensor(0.9909, device='cuda:0')","tensor(0.0069, device='cuda:0')","tensor(0.6341, device='cuda:0')","tensor(0.6250, device='cuda:0')",22.9705783515874,"tensor(0.7116, device='cuda:0')"
71,"tensor(0.9823, device='cuda:0')","tensor(0.0066, device='cuda:0')","tensor(0.6007, device='cuda:0')","tensor(0.5830, device='cuda:0')",23.324390147177716,"tensor(0.7160, device='cuda:0')"
72,"tensor(0.9889, device='cuda:0')","tensor(0.0077, device='cuda:0')","tensor(0.6181, device='cuda:0')","tensor(0.6069, device='cuda:0')",21.60242180621922,"tensor(0.7138, device='cuda:0')"
73,"tensor(0.9970, device='cuda:0')","tensor(0.0063, device='cuda:0')","tensor(0.5440, device='cuda:0')","tensor(0.5409, device='cuda:0')",23.17278304935136,"tensor(0.7208, device='cuda:0')"
74,"tensor(0.9971, device='cuda:0')","tensor(0.0063, device='cuda:0')","tensor(0.6000, device='cuda:0')","tensor(0.5972, device='cuda:0')",23.476350689356387,"tensor(0.7234, device='cuda:0')"
75,"tensor(0.9951, device='cuda:0')","tensor(0.0065, device='cuda:0')","tensor(0.5976, device='cuda:0')","tensor(0.5927, device='cuda:0')",23.181043045444166,"tensor(0.7282, device='cuda:0')"
76,"tensor(0.9891, device='cuda:0')","tensor(0.0072, device='cuda:0')","tensor(0.6064, device='cuda:0')","tensor(0.5956, device='cuda:0')",23.129493711562326,"tensor(0.7311, device='cuda:0')"
77,"tensor(1.0008, device='cuda:0')","tensor(0.0051, device='cuda:0')","tensor(0.5547, device='cuda:0')","tensor(0.5555, device='cuda:0')",22.498868127735456,"tensor(0.7263, device='cuda:0')"
78,"tensor(1.0047, device='cuda:0')","tensor(0.0053, device='cuda:0')","tensor(0.5373, device='cuda:0')","tensor(0.5420, device='cuda:0')",23.764491633764692,"tensor(0.7362, device='cuda:0')"
79,"tensor(1.0062, device='cuda:0')","tensor(0.0060, device='cuda:0')","tensor(0.5422, device='cuda:0')","tensor(0.5484, device='cuda:0')",23.541744969471203,"tensor(0.7321, device='cuda:0')"
80,"tensor(1.0000, device='cuda:0')","tensor(0.0067, device='cuda:0')","tensor(0.5634, device='cuda:0')","tensor(0.5634, device='cuda:0')",24.07450839877017,"tensor(0.7387, device='cuda:0')"
81,"tensor(0.9864, device='cuda:0')","tensor(0.0059, device='cuda:0')","tensor(0.5495, device='cuda:0')","tensor(0.5359, device='cuda:0')",23.849100919679145,"tensor(0.7397, device='cuda:0')"
82,"tensor(0.9883, device='cuda:0')","tensor(0.0060, device='cuda:0')","tensor(0.5833, device='cuda:0')","tensor(0.5716, device='cuda:0')",23.820715659573363,"tensor(0.7339, device='cuda:0')"
83,"tensor(1.0132, device='cuda:0')","tensor(0.0060, device='cuda:0')","tensor(0.5435, device='cuda:0')","tensor(0.5568, device='cuda:0')",23.545252002138987,"tensor(0.7262, device='cuda:0')"
84,"tensor(0.9859, device='cuda:0')","tensor(0.0066, device='cuda:0')","tensor(0.5811, device='cuda:0')","tensor(0.5670, device='cuda:0')",22.990953701549174,"tensor(0.7311, device='cuda:0')"
85,"tensor(0.9941, device='cuda:0')","tensor(0.0076, device='cuda:0')","tensor(0.5456, device='cuda:0')","tensor(0.5398, device='cuda:0')",23.279395845654957,"tensor(0.7339, device='cuda:0')"
86,"tensor(0.9969, device='cuda:0')","tensor(0.0064, device='cuda:0')","tensor(0.5538, device='cuda:0')","tensor(0.5507, device='cuda:0')",21.173862631420313,"tensor(0.7247, device='cuda:0')"
87,"tensor(1.0032, device='cuda:0')","tensor(0.0058, device='cuda:0')","tensor(0.5116, device='cuda:0')","tensor(0.5148, device='cuda:0')",23.23231857241616,"tensor(0.7249, device='cuda:0')"
88,"tensor(0.9918, device='cuda:0')","tensor(0.0058, device='cuda:0')","tensor(0.5146, device='cuda:0')","tensor(0.5064, device='cuda:0')",23.911488902535105,"tensor(0.7324, device='cuda:0')"
89,"tensor(1.0151, device='cuda:0')","tensor(0.0061, device='cuda:0')","tensor(0.4940, device='cuda:0')","tensor(0.5091, device='cuda:0')",23.036720694258115,"tensor(0.7363, device='cuda:0')"
90,"tensor(0.9968, device='cuda:0')","tensor(0.0072, device='cuda:0')","tensor(0.5274, device='cuda:0')","tensor(0.5243, device='cuda:0')",23.700216259599284,"tensor(0.7435, device='cuda:0')"
91,"tensor(1.0164, device='cuda:0')","tensor(0.0070, device='cuda:0')","tensor(0.4892, device='cuda:0')","tensor(0.5056, device='cuda:0')",21.116753542047736,"tensor(0.7292, device='cuda:0')"
92,"tensor(0.9899, device='cuda:0')","tensor(0.0059, device='cuda:0')","tensor(0.4977, device='cuda:0')","tensor(0.4876, device='cuda:0')",24.063748425930108,"tensor(0.7481, device='cuda:0')"
93,"tensor(1.0014, device='cuda:0')","tensor(0.0059, device='cuda:0')","tensor(0.5248, device='cuda:0')","tensor(0.5261, device='cuda:0')",24.042517592639037,"tensor(0.7441, device='cuda:0')"
94,"tensor(0.9984, device='cuda:0')","tensor(0.0059, device='cuda:0')","tensor(0.5320, device='cuda:0')","tensor(0.5304, device='cuda:0')",21.57176193381239,"tensor(0.7407, device='cuda:0')"
95,"tensor(1.0030, device='cuda:0')","tensor(0.0058, device='cuda:0')","tensor(0.5146, device='cuda:0')","tensor(0.5176, device='cuda:0')",24.121463974853707,"tensor(0.7469, device='cuda:0')"
96,"tensor(1.0052, device='cuda:0')","tensor(0.0059, device='cuda:0')","tensor(0.5354, device='cuda:0')","tensor(0.5406, device='cuda:0')",23.95836104708465,"tensor(0.7505, device='cuda:0')"
97,"tensor(0.9902, device='cuda:0')","tensor(0.0057, device='cuda:0')","tensor(0.5421, device='cuda:0')","tensor(0.5324, device='cuda:0')",24.122611590817677,"tensor(0.7510, device='cuda:0')"
98,"tensor(1.0084, device='cuda:0')","tensor(0.0061, device='cuda:0')","tensor(0.5155, device='cuda:0')","tensor(0.5239, device='cuda:0')",23.68319889975907,"tensor(0.7474, device='cuda:0')"
99,"tensor(0.9956, device='cuda:0')","tensor(0.0056, device='cuda:0')","tensor(0.5191, device='cuda:0')","tensor(0.5147, device='cuda:0')",23.77262012648723,"tensor(0.7513, device='cuda:0')"
100,"tensor(0.9857, device='cuda:0')","tensor(0.0060, device='cuda:0')","tensor(0.4984, device='cuda:0')","tensor(0.4842, device='cuda:0')",23.12084752105592,"tensor(0.7475, device='cuda:0')"
